Date,Open,High,Low,Close,Volume
07/29/2022,"33.68","34.79","33.06","34.01","3,988,750"
07/28/2022,"33.39","34.43","32.66","33.84","3,207,363"
07/27/2022,"32.96","34.12","32.16","33.78","4,251,215"
07/26/2022,"32.87","33.31","32.10","32.43","4,866,070"
07/25/2022,"35.00","35.51","33.25","33.98","5,686,259"
07/22/2022,"36.88","38.70","34.93","35.78","10,060,250"
07/21/2022,"39.93","40.00","37.29","38.37","9,277,796"
07/20/2022,"38.50","40.41","38.35","39.69","11,400,292"
07/19/2022,"37.44","39.21","36.59","37.93","12,827,820"
07/18/2022,"36.25","37.40","35.77","36.66","11,155,132"
07/15/2022,"34.86","35.59","33.51","35.41","9,832,472"
07/14/2022,"34.80","37.99","34.05","34.05","20,970,208"
07/13/2022,"33.75","36.34","33.75","35.32","13,703,788"
07/12/2022,"32.70","35.65","31.82","34.28","16,899,680"
07/11/2022,"32.14","32.94","31.16","32.52","7,558,344"
07/08/2022,"31.67","33.17","30.63","32.14","13,199,444"
07/07/2022,"31.12","33.88","30.45","33.78","30,313,564"
07/06/2022,"30.17","30.57","28.34","29.36","9,988,996"
07/05/2022,"30.38","30.62","29.75","30.06","6,045,760"
07/01/2022,"30.28","31.29","29.82","30.86","6,617,116"
06/30/2022,"29.84","31.65","29.44","30.58","6,718,672"
06/29/2022,"30.39","31.62","29.90","30.72","6,826,496"
06/28/2022,"32.75","32.83","30.57","31.10","6,621,596"
06/27/2022,"34.12","34.26","31.83","32.42","9,745,448"
06/24/2022,"35.75","37.09","32.88","33.80","16,995,764"
06/23/2022,"35.41","36.00","34.18","35.51","6,682,900"
06/22/2022,"34.67","36.18","34.11","34.62","7,846,916"
06/21/2022,"34.56","36.35","33.88","35.07","12,512,268"
06/17/2022,"31.72","33.96","31.58","33.79","12,340,908"
06/16/2022,"31.24","32.32","30.15","31.43","9,995,056"
06/15/2022,"31.24","32.99","30.91","32.32","10,764,284"
06/14/2022,"29.39","32.00","29.03","31.54","12,739,140"
06/13/2022,"30.13","31.14","28.58","29.56","13,792,816"
06/10/2022,"31.50","32.98","30.79","32.27","11,830,196"
06/09/2022,"34.70","34.98","31.84","32.25","13,135,252"
06/08/2022,"35.35","38.25","33.96","34.68","24,473,520"
06/07/2022,"32.50","37.47","31.58","36.63","24,967,468"
06/06/2022,"33.83","34.03","31.76","32.03","9,532,920"
06/03/2022,"32.50","34.53","31.06","33.43","18,234,452"
06/02/2022,"29.75","34.13","28.89","33.50","27,918,764"
06/01/2022,"30.71","32.40","29.25","30.35","14,991,732"
05/31/2022,"34.30","34.98","30.13","31.19","19,084,328"
05/27/2022,"35.25","35.93","31.75","34.30","30,045,076"
05/26/2022,"29.00","37.12","28.68","32.12","57,892,320"
05/25/2022,"22.54","28.87","22.54","28.79","40,060,000"
05/24/2022,"23.51","23.55","21.68","22.29","8,879,480"
05/23/2022,"24.14","24.32","22.88","24.03","6,993,924"
05/20/2022,"24.95","25.60","22.44","23.92","9,972,096"
05/19/2022,"22.81","25.49","22.54","24.80","12,720,540"
05/18/2022,"24.10","24.96","22.54","22.87","11,560,128"
05/17/2022,"23.48","25.10","22.80","25.10","10,444,948"
05/16/2022,"24.70","24.79","22.70","22.95","11,582,124"
05/13/2022,"24.75","26.69","23.76","24.60","23,930,864"
05/12/2022,"20.76","27.02","19.44","22.39","40,139,760"
05/11/2022,"23.37","23.82","20.00","20.33","16,681,372"
05/10/2022,"25.75","26.52","22.00","23.38","16,603,212"
05/09/2022,"27.70","27.70","24.52","24.70","13,264,936"
05/06/2022,"29.32","30.14","27.56","28.68","7,161,632"
05/05/2022,"30.99","31.17","28.78","29.78","7,015,448"
05/04/2022,"29.80","31.94","28.93","31.77","6,651,292"
05/03/2022,"29.62","31.11","28.61","30.11","7,312,684"
05/02/2022,"30.91","31.35","28.18","29.89","10,171,944"
04/29/2022,"31.83","32.72","30.75","31.27","5,143,420"
04/28/2022,"32.57","33.15","30.13","32.33","7,084,892"
04/27/2022,"31.82","33.17","31.15","32.46","5,223,496"
04/26/2022,"33.91","34.20","31.54","31.90","6,182,896"
04/25/2022,"33.85","34.93","33.32","33.99","6,139,116"
04/22/2022,"35.64","36.58","33.89","34.56","6,278,432"
04/21/2022,"37.50","38.28","34.98","35.39","6,737,468"
04/20/2022,"38.00","38.08","36.66","37.21","4,648,012"
04/19/2022,"35.71","38.25","34.96","38.12","9,416,676"
04/18/2022,"37.50","37.81","34.31","35.37","9,871,124"
04/14/2022,"37.32","39.13","36.81","37.69","10,002,332"
04/13/2022,"36.03","38.03","35.51","37.68","8,032,900"
04/12/2022,"36.63","38.06","35.42","36.22","7,996,544"
04/11/2022,"35.76","37.06","35.15","36.73","9,811,916"
04/08/2022,"37.27","37.68","35.51","36.55","10,371,516"
04/07/2022,"38.53","39.18","35.39","37.50","15,311,388"
04/06/2022,"37.75","39.82","37.43","39.16","16,267,832"
04/05/2022,"42.00","42.11","38.00","38.40","15,825,264"
04/04/2022,"41.75","43.31","39.13","42.68","18,560,308"
04/01/2022,"47.23","47.44","38.82","41.25","52,758,240"
03/31/2022,"40.78","43.94","39.63","41.65","44,968,920"
03/30/2022,"43.75","45.83","41.25","41.71","36,676,744"
03/29/2022,"47.06","49.85","40.75","44.98","72,045,960"
03/28/2022,"38.00","47.71","37.89","47.40","65,266,080"
03/25/2022,"35.01","39.54","34.55","37.99","53,535,480"
03/24/2022,"33.50","35.87","31.69","35.60","36,400,600"
03/23/2022,"32.50","37.73","31.64","35.25","98,399,360"
03/22/2022,"23.85","31.45","23.61","30.79","60,068,920"
03/21/2022,"22.50","24.85","22.44","23.55","15,812,448"
03/18/2022,"19.94","24.36","19.73","22.70","35,688,376"
03/17/2022,"21.28","22.40","20.86","21.93","13,796,480"
03/16/2022,"21.28","22.50","20.50","21.72","10,615,712"
03/15/2022,"20.53","21.89","19.67","20.66","14,115,192"
03/14/2022,"23.36","23.58","19.40","19.53","18,134,456"
